Protein IDs,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2
Q9W0S7,-1.988790639,-1.925110992,-1.076310742,-1.129481401,-1.990337519,-1.857782638,-1.025206401,-0.863729852,-0.396099532,-0.342707564,-1.852406745,-1.891803428,-0.839828452,-0.772258924,-0.901634346,-0.864964283
Q06559,-1.729435178,-1.517915851,-0.553828481,-0.419044132,-1.615287038,-1.853501176,-0.411406481,-0.52605727,-0.035017384,0.044324169,-1.543130784,-1.518618385,-0.658219147,-0.820616346,-0.543740549,-0.457474488
O17445;A8Y560,-1.576992028,-1.506926579,-0.547214819,-0.137171742,-1.344501619,-1.784035688,-0.099200801,-0.113691785,0.736648166,0.481918878,-1.272088256,-1.250234062,-0.203219533,0.016068369,0.227617869,0.376846014
Q9W499,-1.239668327,-1.107865476,-0.355183872,-0.178159193,-1.148960614,-1.5234213,0.020911066,-0.06303234,0.674731809,0.188400925,-1.005898236,-1.284862211,-0.03639271,0.035483152,0.164528861,0.294547234
Q9VZ58,0.342896037,0.069289713,-0.175875751,-0.11523799,#VALUE!,-0.018775695,-0.355608381,0.206393169,-0.565481188,-0.180724218,-0.205613248,-0.167539315,0.020484422,0.076285443,-1.07710191,-0.786621609
Q9W4X7,-0.683460322,-0.840629153,0.464981862,0.352532557,-0.786571836,-1.164916733,0.207518077,0.227494651,0.883308003,0.708319689,-0.757013436,-0.862076844,0.372394965,0.588036972,0.371391584,0.2880632
Q9VSD6,-1.57901644,-1.380295897,-1.238102031,-1.314517282,-1.298743726,-0.771298269,-2.335772043,-1.995563328,-1.452017217,-1.475174044,-2.109981413,-1.21890052,-1.304504983,-1.401596679,-1.965333513,-1.772702519
Q9VQL7;B7Z001;Q9VQL6,-1.300235177,-0.96162001,-3.583618535,-3.897285438,-0.647173691,-0.85783493,-4.008101798,-3.932383309,-3.150849399,-3.152772736,-0.69042797,-0.739155343,-4.208200929,-4.401528073,-3.667987592,-3.45346257
Q9V9K7,-1.375496658,-1.540316587,-0.905250463,-1.138536863,-1.831563345,#VALUE!,-0.682811722,-1.083508069,-0.478627583,-0.915200965,-1.656853734,-1.751756647,-0.961535723,-0.2540829,-0.99731908,-0.914085917
Q9V3W0,2.028887359,2.044953602,0.750692249,0.652968269,2.361628013,2.377095978,0.285816472,0.143262793,1.037311931,1.179383654,2.28557977,2.424008361,0.271545198,0.204265945,0.516922851,0.432745659
Q9W3B3,-0.755259044,-0.837996262,-0.711653251,-0.870519141,-1.223340102,-1.631376905,-0.730009366,-0.462316284,0.574440641,0.279768422,-0.801380127,-0.97244958,0.079838881,-0.292651913,0.052276765,0.058939855
P42281,3.000901403,2.7554431,0.837458899,0.804631843,2.986702176,2.279174108,0.526269172,0.308710351,1.628960189,1.525818322,2.625036646,2.791188942,0.375956902,0.504467853,1.106281309,0.928502979
A1Z936;A1Z935,1.44185526,0.808096689,0.362441834,0.01235413,1.038155201,#VALUE!,0.423847055,0.75309103,0.003746139,-0.158236157,0.469469253,0.227987459,0.421802281,#VALUE!,-0.519921044,-0.211180674
Q9I7I3,-0.354538119,0.199750857,0.074231394,0.209390977,-0.07816763,-0.207261234,-0.296509435,-0.049860102,-0.517915851,-0.520148613,-0.252105651,-0.117489978,-0.524956634,-0.235908671,-1.048382367,-0.783861802
Q24368,-1.451662024,#VALUE!,-0.858619529,-0.383905833,-1.582728055,-1.466695812,-1.914738523,-1.492119118,-1.558049154,-1.096468058,-1.573252191,-0.324798304,#VALUE!,-0.157592327,-2.089758552,-1.140412041
Q95RV5,0.258940968,0.075053365,-0.004247771,0.06502077,0.146133829,-0.521100655,-0.130254909,-0.211364398,0.369941022,0.097745622,-0.12070201,-0.087564735,-0.369780935,-0.204249673,-0.162234332,-0.264200575
Q9VIH3,-0.840835858,-0.02130647,-1.171758389,-1.136346946,-0.748650527,-0.731517697,-1.382852002,-1.515521541,-0.91667088,-0.262122911,-0.333025316,-0.255873357,-0.970723818,-1.026587097,-1.449138727,-1.255597758
Q9VVU1,0.592636429,0.575021826,-0.337138258,-0.544035011,0.477055566,0.745710622,-0.827256483,-0.739564785,-0.288399373,-0.356827232,0.724126354,0.752406071,-0.564008778,-0.662757039,-0.822043949,-0.834107351
P32100,-1.141207344,-0.924782297,-0.041268662,0.035905384,-0.896495646,-1.008624188,0.240375394,0.237074171,0.820648719,0.432959407,-0.796209981,-0.741203719,0.045303168,0.21126145,0.284158746,0.479644475
Q7JVH6,0.111565545,1.732746762,-0.361972515,-0.67592677,#VALUE!,#VALUE!,-0.525434165,-0.676987406,0.076148597,0.184597684,0.40729836,0.700528497,-0.546498224,-0.502893529,-0.460925581,-0.396403325
Q9VMR6,-0.828255145,-0.85165155,-1.419738719,-1.423139298,-0.862312872,-0.537822007,-1.360193652,-1.857573491,-1.179089917,#VALUE!,#VALUE!,-0.67077305,-1.717002797,-1.562175701,-1.719423705,-1.899964279
