Protein IDs,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2
Q8T008;A8DY95;A1Z8A7,-0.630706622,-1.048800159,-1.363456579,-1.449611509,-0.991943445,#VALUE!,-1.4640665,-1.939094866,#VALUE!,-2.285037984,-1.144903296,#VALUE!,#VALUE!,#VALUE!,-0.6464057,-1.390509777
P12252-4;P12252-5;P12252;E2QD73;P12252-6;P12252-7;Q8IRU4;P12252-3;Q9W4S9-2;Q9W4T0;Q9W4S9,-1.834030194,-2.350706453,-1.820310614,-2.124628824,-1.187871481,#VALUE!,-2.388733175,-2.078198091,#VALUE!,-2.181803871,-1.258321614,-1.648778758,-1.381122377,-2.117787378,-2.122365674,-2.448193627
Q9VIC9,-1.984845019,#VALUE!,-2.193832699,-1.280685113,-1.456999123,#VALUE!,-2.380521254,-2.714633294,-2.430820035,-2.072482754,#VALUE!,#VALUE!,-0.444124961,-1.867120503,#VALUE!,-0.189960043
Q7YU24;O18412,-1.037976699,-1.583549352,-1.725899393,-2.04299178,-0.80404773,-1.256528117,-1.649095461,-1.301017029,#VALUE!,-1.980796266,-0.954640909,-1.284686459,-1.517296252,-2.158815851,-0.537612575,-0.992833209
P08255,0.648925559,-1.958981361,-3.534980511,0.174406419,#VALUE!,#VALUE!,-0.967447724,-1.357825241,-0.627471303,-1.93076529,#VALUE!,-0.369930078,#VALUE!,#VALUE!,#VALUE!,-3.020691654
Q9W391;Q9W391-2;B7Z134;Q6IDE0;Q1RL11,-2.141971247,#VALUE!,-0.919178636,-2.198659207,-1.487904618,#VALUE!,-3.247559673,-2.18632756,#VALUE!,-1.903522231,#VALUE!,#VALUE!,-1.14053926,-1.298282398,-1.24615589,-1.916807059
Q07093,-2.070966521,#VALUE!,-1.9588131,-2.027498493,#VALUE!,#VALUE!,-1.821635918,-1.410313203,-2.970638997,-1.87228749,-0.978434993,-1.161427356,#VALUE!,-1.628653027,#VALUE!,-2.049486794
B7YZV4;B7YZV3;B7YZV1;B7YZV2;Q9VKE9,#VALUE!,-1.436002373,#VALUE!,-1.782198524,#VALUE!,#VALUE!,-1.646202476,#VALUE!,#VALUE!,-1.867067874,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.233379398
Q7KY08;Q32KD4,-1.14193941,0.034356597,-1.73063166,#VALUE!,-1.776453884,-0.320648271,-1.31954961,0.656542133,#VALUE!,-1.85783493,-1.431987358,-1.333116184,-2.335043924,-1.161879207,-0.662368822,-1.71752461
Q9VP27,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.819801206,-1.099587199,#VALUE!,-1.436509917,#VALUE!,-2.40491651,-2.575185379
Q9VXC1,#VALUE!,#VALUE!,-1.386506065,#VALUE!,-1.843577494,-1.651269013,#VALUE!,#VALUE!,-2.319837702,-1.805156488,#VALUE!,#VALUE!,-1.546076864,-1.478627583,#VALUE!,-1.236129556
E1JH63;B7YZG6;A1Z9J1;E1JH62;B7YZG5;B7YZG4;A1Z9J0;A1Z9I8;A1Z9I9;B7YZG2;B7YZG3,#VALUE!,#VALUE!,-1.308465835,#VALUE!,-2.204831529,-2.630483264,-0.049158362,-1.175142554,-1.58225278,-1.793356776,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.212333514
Q9VJH2,-1.721039904,-1.219001268,-1.491551064,-1.682047675,-1.4965902,-0.951122139,-1.523753126,-1.356790282,-1.425268737,-1.792356987,-1.749766019,-2.281035664,-1.697967615,-1.447524556,#VALUE!,-1.365759898
Q9VF66;E1JIL7;Q86BP0;Q86BS0,#VALUE!,-1.766651825,-0.006637214,-0.750178485,0.039419183,#VALUE!,-1.466576194,-1.371982356,#VALUE!,-1.763807432,-0.046176046,-0.589984597,#VALUE!,-1.650408257,-1.526327366,-1.636167314
Q9VM47;Q8SXU2,#VALUE!,#VALUE!,#VALUE!,-0.095851205,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.660289751,-1.723658183,#VALUE!,#VALUE!,0.345396375,#VALUE!,#VALUE!,-0.837661042
Q8MZI3;Q7KU78,-1.629143838,-1.525081192,#VALUE!,-1.233141976,-2.130870855,-0.533492946,-1.329268414,#VALUE!,-1.531948506,-1.651948921,-2.084119665,-2.035224339,-0.729961508,-1.499483455,#VALUE!,-1.014907662
Q9W1T9,-2.137711287,-1.684781589,-1.36594581,-1.421206167,#VALUE!,-1.721705924,-1.538345721,#VALUE!,#VALUE!,-1.649593278,-1.66566056,-2.025030237,-1.376732435,-1.615905973,-1.275716451,-1.608936205
Q4V5I9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.174150712,#VALUE!,#VALUE!,#VALUE!,-2.095851205,-1.607616627,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.869701683
A1Z9U2,-0.442908556,1.303751529,-0.264027322,0.479644475,#VALUE!,#VALUE!,#VALUE!,-0.194674522,#VALUE!,-1.517296252,0.541118304,0.353662045,0.106750315,0.404794153,0.228726355,0.294900072
Q9VDK7,-2.223306418,-1.208994481,-1.185605441,-1.070299884,-1.486004021,-2.409738126,-1.93164562,-1.70783079,#VALUE!,-1.48628693,-1.914956124,-1.68121463,-1.653854367,-1.602131338,-1.062746015,-0.988332622
Q9VSS1,-1.748117335,-0.005623028,-1.356236146,-1.683483492,-2.100669665,-2.814513996,-1.38624206,-1.384546035,#VALUE!,-1.470888709,-2.386921028,-0.664013752,#VALUE!,-1.024384487,#VALUE!,-1.196475361
Q9VVR9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.582079992,#VALUE!,-1.912184166,-1.453992106,#VALUE!,#VALUE!,-1.564478079,#VALUE!,#VALUE!,-2.023621699
Q9VC31,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.432104143,#VALUE!,-1.095666201,#VALUE!,#VALUE!,#VALUE!,-1.242328113
Q7JV69,#VALUE!,0.080794082,-0.464623833,-0.518701058,#VALUE!,-0.019345829,-0.409929793,-0.120623582,#VALUE!,-1.418966976,-0.397847217,-0.779670045,-1.02488345,-1.029617507,-1.374598575,-1.520065857
Q7K4Q9,-1.466655938,-1.303365132,-1.215981883,-0.981850129,-1.3373752,-1.067213127,-1.320846479,-0.983817499,#VALUE!,-1.365722719,-1.36955725,-1.429614792,-1.015228388,-1.068543859,-0.658037017,-0.732140643
A8DY69;Q8SXP0,-0.404095381,-1.611711255,#VALUE!,-1.237625669,-1.897973501,-1.080545498,#VALUE!,-1.716813093,#VALUE!,-1.351700235,-0.340276337,-1.386807845,-1.480156203,-1.051458955,#VALUE!,-1.871020393
Q9VRW2,-1.458108553,-1.142162287,-1.11500361,#VALUE!,-0.073833542,#VALUE!,-1.119290969,-1.605859064,-1.544392653,-1.351037638,#VALUE!,#VALUE!,0.587845009,-0.499442665,#VALUE!,-0.918605829
Q9W406;A8JUZ7,-0.726591533,-0.371403691,-0.460826297,-0.593485098,3.56571902,-0.322667666,-0.28649773,-0.996743188,#VALUE!,-1.334170666,#VALUE!,#VALUE!,-0.022331746,-0.47252925,-0.912917401,-0.248467724
Q7K519,#VALUE!,-0.46534072,-0.317822262,-0.251143797,#VALUE!,-1.452175109,-0.90949882,#VALUE!,#VALUE!,-1.272959586,-0.49323559,-0.445145962,-0.595314824,#VALUE!,-0.426916369,-0.827077309
P10040;P10040-2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.200481608,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.244616723,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.766602736,-1.178828601
Q9VZE7,#VALUE!,-0.376919766,-0.694297912,0.459746354,#VALUE!,-1.250748936,-0.560025872,#VALUE!,#VALUE!,-1.215780815,-0.656535324,-0.870756555,-0.903333331,-0.782074475,#VALUE!,-1.123308222
P54367;E1JJI5,-1.102960985,-1.322577454,#VALUE!,-0.907116034,-0.47357056,-1.360934578,#VALUE!,-0.670130128,-0.968717739,-1.18150934,-0.520645252,-0.8787193,-1.19591339,-0.546308597,#VALUE!,-0.788539176
Q9V460;Q9V460-2,-1.904818211,-0.545150304,#VALUE!,-1.338870655,-1.573123404,#VALUE!,#VALUE!,#VALUE!,-1.774626343,-1.159428002,-2.170718702,-1.866699524,#VALUE!,#VALUE!,#VALUE!,-1.4640665
Q9VJG0,-2.010657503,-1.735091309,-1.082652269,-1.44445867,-1.905142388,-2.399730246,-0.704065435,-1.080484478,#VALUE!,-1.145413827,-1.280194483,-2.0899428,-1.296155104,-1.32622651,-0.546308597,-1.34684824
Q9V3F8,-1.083416352,-1.148161027,-0.979231135,-1.332716409,-1.176935471,-1.288205572,-1.534621015,-1.135871317,#VALUE!,-1.09807311,-0.883768339,-1.142990415,-0.909011112,-1.387524824,-1.00453719,-1.452569914
Q9VPK3,0.183200647,0.570560079,-0.603818586,-0.801354984,#VALUE!,#VALUE!,-0.812156257,-0.579900319,#VALUE!,-1.097424701,#VALUE!,0.219958398,-0.769501836,-0.774453588,-0.552769949,-1.007782653
Q9VDU7,-0.496366316,#VALUE!,-0.741493135,-0.523607943,-0.69012534,-0.643630786,-1.564691448,-0.998183348,#VALUE!,-1.069603273,-1.023181813,#VALUE!,1.327054969,-0.773442148,0.119289768,-0.601474503
Q8SX68,-0.866541688,-1.31821793,0.083519749,-0.811497793,-0.673968949,#VALUE!,-0.774626343,0.354564999,#VALUE!,-1.060427367,0.013783815,-1.535122662,-1.028734206,-0.588942611,-0.817409394,-0.940201736
Q9V6B9,#VALUE!,-1.280895433,-0.646428282,-0.716907942,-0.344171932,-1.106622256,-1.412116596,-0.629143838,-1.434870801,-1.048561406,-1.268121651,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.113005115
Q8T8R1,-2.581993606,-2.481807321,-1.214541516,#VALUE!,-1.496305263,-2.429187367,#VALUE!,-0.686800594,#VALUE!,-1.02148218,0.113567157,#VALUE!,#VALUE!,-0.673945932,#VALUE!,-1.34391556
Q9W3Q1,0.281905924,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.582620024,0.011924948,#VALUE!,-0.989334722,#VALUE!,#VALUE!,-0.835651359,#VALUE!,#VALUE!,-0.160298348
Q9VVL8,-0.976049199,-0.906737317,#VALUE!,#VALUE!,-0.922018749,#VALUE!,#VALUE!,-0.486145468,-1.067424752,-0.984445341,-0.38669467,-0.324726028,-0.806619335,-0.378982019,#VALUE!,-0.372542575
Q9VU94,-1.662414489,-1.085251803,-1.396574237,#VALUE!,-2.415268349,-2.709339688,#VALUE!,-1.787119434,#VALUE!,-0.978463419,-1.617365945,-1.633210603,#VALUE!,-1.087488089,-1.479472146,-1.324346635
Q24562,-1.275856179,-1.171108497,-0.407172245,-0.774552303,#VALUE!,-1.048770313,-0.815884776,-0.697850602,#VALUE!,-0.975027922,-1.289615625,-1.535749966,-0.913868447,-0.348886296,-0.359804818,-1.083385781
Q9VBC7,-0.645096539,-0.35882394,-1.305966734,-0.834750486,-0.411310546,#VALUE!,#VALUE!,#VALUE!,-0.149248574,-0.969000117,#VALUE!,-0.478205487,-1.229585326,#VALUE!,#VALUE!,-0.206079154
Q8STG9,-1.578757847,#VALUE!,#VALUE!,#VALUE!,-1.565673352,#VALUE!,#VALUE!,-1.16501378,#VALUE!,-0.949449546,#VALUE!,-2.134983894,#VALUE!,-1.153093542,#VALUE!,-1.319765674
Q9VL10,-1.849596299,-1.378231768,-0.722277044,-1.288839926,-1.546540367,-0.820234192,-0.959851021,-0.897650931,#VALUE!,-0.942889429,-1.807376563,-1.23575577,-1.343329739,-0.988876533,-1.026116925,-1.044240841
Q9VCC0,-1.641423694,-1.536335696,-0.184982084,#VALUE!,#VALUE!,#VALUE!,-0.446305282,#VALUE!,#VALUE!,-0.893892932,-2.025088956,-1.665202925,#VALUE!,-0.470708763,#VALUE!,-0.845805675
Q8IMM1;Q9VAU1;E1JJ08,-0.821916427,-1.128282494,#VALUE!,-1.004103083,#VALUE!,#VALUE!,#VALUE!,-0.80778058,#VALUE!,-0.892258575,-0.17193716,-1.176087633,#VALUE!,#VALUE!,-1.400644116,-1.076219481
A1Z6R7,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.890144696,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.752850233
Q9VAV2,-1.179776098,#VALUE!,-0.701107119,-1.054512152,-0.973214102,-0.959093546,-0.607155059,-0.548142706,#VALUE!,-0.880524295,#VALUE!,-0.009335523,-1.026704664,-0.009277441,-1.109701184,-1.020457507
O77277,-0.902065645,-0.725446101,#VALUE!,-0.144632151,-1.706464713,-1.314876152,#VALUE!,#VALUE!,#VALUE!,-0.87313284,-0.986644941,-0.499095993,-0.509162919,-0.426276477,-0.202488911,-0.291415443
Q9VVE2;Q9VVE2-2,#VALUE!,#VALUE!,-0.712031328,#VALUE!,-0.735908006,#VALUE!,-0.634262677,-0.638546036,#VALUE!,-0.872842195,#VALUE!,#VALUE!,-0.835754351,-0.779595745,-1.066608654,-1.153895868
Q9VEC2,-1.509881745,-0.758330632,-0.15767279,#VALUE!,-1.043199882,-1.357122867,-0.503302461,-1.078746493,#VALUE!,-0.868173488,-0.560004602,-1.086905708,-0.466018107,-0.651699584,-0.739709322,-0.41077343
P41964;Q9VZR2,#VALUE!,#VALUE!,-0.439715473,#VALUE!,1.753775664,#VALUE!,-1.044925309,-1.292651913,#VALUE!,-0.865069389,#VALUE!,#VALUE!,#VALUE!,-0.572780028,#VALUE!,-0.948781051
A1ZAK7;A1ZAK8;A1ZAK9,-1.325792475,-1.883954695,-0.626067871,#VALUE!,-1.626736002,-1.47818539,-0.896925411,-1.165984617,#VALUE!,-0.828357611,-1.123999815,-1.435846241,-0.657650068,-0.203800973,-0.904224076,-0.164399255
Q23978,-0.988160903,-2.074851263,-1.173579645,-1.915119346,-2.744197163,-1.742072144,-1.641468703,-1.479271015,#VALUE!,-0.823217681,-1.872498781,-2.352252632,-1.590788309,-0.372187744,#VALUE!,-2.082163468
Q9VM22;B7Z037,0.027437183,-1.024384487,-0.542836506,-0.638860501,#VALUE!,#VALUE!,#VALUE!,-0.790958446,-1.736821332,-0.819495647,-0.472148958,-0.669625175,-0.823753833,-1.296261394,#VALUE!,-1.355497628
Q9VHP0,-2.112100457,-1.696049791,-1.012722798,-0.852797518,-1.460806441,-2.108798595,-0.410102315,-1.072998636,#VALUE!,-0.80233587,-1.29056819,-1.952042893,-1.006651708,-0.744753083,-1.077375877,-0.21291864
Q9VIU9;Q8INW2;B7YZX0;B7YZW9;Q058W1,-0.396935117,-0.613343538,-0.247696701,-0.214625219,-0.487945084,-0.545676686,-0.454229274,#VALUE!,#VALUE!,-0.79841632,-0.727737875,-0.400339428,0.09071796,#VALUE!,0.210388864,-0.321693676
P54352-2;P54352-3;P54352,-1.394259154,-1.143245319,-0.817282281,-1.636795274,-1.118257082,-0.993091631,-1.114847378,-0.456365545,#VALUE!,-0.7884395,-0.950982682,-0.908252782,-1.271147811,-0.847985365,-1.006274923,-0.645389868
Q8INK9-6;Q8INK9-7;Q8INK9-2;Q8INK9-3,-0.41188625,#VALUE!,-0.641018676,#VALUE!,-0.399083272,#VALUE!,-0.378156764,-0.583419642,#VALUE!,-0.779595745,-0.618428671,#VALUE!,-0.477361664,-0.56800271,#VALUE!,-0.684271483
Q7K0P0,#VALUE!,-0.348004621,-0.882092225,#VALUE!,#VALUE!,#VALUE!,-0.881906111,#VALUE!,-1.01689147,-0.761408773,#VALUE!,#VALUE!,-0.172896404,0.28912622,#VALUE!,-0.593659258
Q9W4W8;Q8MT03,-0.522985895,0.716683672,-0.413903025,-0.333879697,-0.034337599,-0.334152479,-0.40333196,0.425888934,#VALUE!,-0.750639615,-0.369650448,-0.152852931,-0.45059697,-0.343604313,0.136453909,-0.209428119
Q9U5L1,-1.883741719,-1.300803755,-0.216602019,-0.757745063,-1.486610322,-0.745309216,-0.605595615,-0.286884899,-0.687125755,-0.748505092,-1.368290355,-1.564136754,-0.573359522,-0.53336766,#VALUE!,-0.327511294
Q9VSM4,-1.255218894,-1.215981883,-0.736629005,-0.494840763,-1.008072782,-0.392951446,-0.537130996,-0.191903311,#VALUE!,-0.711228033,-0.593789891,-0.964939203,-0.533451183,-0.443085067,-1.114847378,-0.391985641
Q9VCG3,#VALUE!,0.36120689,#VALUE!,-0.251143797,#VALUE!,#VALUE!,-0.492403229,-0.38381171,-1.105380106,-0.707312471,#VALUE!,#VALUE!,#VALUE!,-0.575529328,#VALUE!,-0.558112877
Q7K012,-0.916970491,-0.756989055,-0.510724255,#VALUE!,-1.144488623,-0.591570728,-0.408703566,-0.29702337,#VALUE!,-0.696306912,-0.910583206,-1.075033617,-0.598653513,-0.107974309,-1.003235262,-0.389677904
Q9W415,-1.566057758,#VALUE!,-1.164366919,#VALUE!,#VALUE!,#VALUE!,-1.304326821,#VALUE!,#VALUE!,-0.690916968,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.452727866,-0.9770428
P92208;E1JHD6;E2QCS5,-0.501463175,-0.795233249,-0.378850696,-0.702209909,-0.738168341,0.343692069,0.929563784,-0.080179417,#VALUE!,-0.685755928,-0.861473837,-0.749668986,-0.438874303,-0.485276795,-0.318002098,-0.505533186
O96692;Q2MGM2,-0.769501836,-1.034367149,-0.176511489,-0.379713889,-0.099478997,#VALUE!,-0.428488218,-0.540505429,#VALUE!,-0.641783805,-0.907007819,-0.425695003,#VALUE!,#VALUE!,-0.494271637,-0.593898762
Q9W2D9,-0.7868705,-1.360156616,-1.051518759,-0.117427375,-1.256562587,#VALUE!,-0.531990226,0.058385771,#VALUE!,-0.636548543,-1.365388146,-1.150657206,-1.585496397,-1.652175628,-0.016074278,-1.036052454
Q9Y105,-1.565289049,-1.716907942,-1.773836772,-1.819342892,-2.227151538,-0.414729757,-1.169582402,-0.967024634,#VALUE!,-0.628898412,-1.715628011,-2.424377862,-0.993608612,-0.284440442,-0.09087976,-1.429303925
P09040,#VALUE!,1.754716506,0.175939705,#VALUE!,#VALUE!,#VALUE!,-0.031415221,#VALUE!,#VALUE!,-0.60191236,#VALUE!,#VALUE!,-0.22302013,#VALUE!,#VALUE!,-1.235450017
Q7PLL6,0.726656863,-2.630483264,-0.976560108,#VALUE!,-1.535540834,-0.183310192,#VALUE!,-0.623776307,#VALUE!,-0.598522439,-2.085404863,-1.755794882,#VALUE!,#VALUE!,0.012497163,-1.678579823
Q9VPR5,-1.953048022,-1.275262427,-1.262953617,-1.734803173,-1.085956012,-1.105597405,#VALUE!,-0.659380765,#VALUE!,-0.586081023,-1.992747079,-1.744680559,#VALUE!,-1.134698767,-1.194856156,-1.44673781
O96299,-0.907034872,-0.567339849,-0.564712786,-0.638546036,-0.581281116,#VALUE!,-0.809018587,-0.483137645,#VALUE!,-0.576109929,-0.521866884,-0.907846698,-1.080606521,-0.821737915,-0.867567928,-1.110355135
Q9VY91,-1.339381654,-1.151458178,-0.872604438,-0.917597152,-0.768543014,-1.411041963,-0.967955596,#VALUE!,#VALUE!,-0.548037234,-1.547636512,-1.543551284,-0.747075757,-0.51857705,-1.050472537,-0.840035042
Q9NK57,-0.264720458,-0.396688189,#VALUE!,#VALUE!,-0.248364897,-0.59847875,-0.123041104,0.1728715,-0.591527249,-0.543067719,0.884949517,#VALUE!,-0.20046503,#VALUE!,#VALUE!,-0.499544643
P42787-6;P42787-7;P42787-2;P42787-8;P42787-3;P42787;P42787-4;P42787-5,-0.192414265,-0.381122377,-0.246275672,-0.33599055,#VALUE!,-0.128629444,-0.112271986,#VALUE!,#VALUE!,-0.539309851,#VALUE!,0.030124161,#VALUE!,-0.458504985,-0.445637086,-0.552346753
Q9W107,-0.130649716,-0.214826126,0.006764782,#VALUE!,-0.157254431,#VALUE!,-0.706511798,-0.310808207,-0.47282955,-0.538639084,#VALUE!,-0.816113366,#VALUE!,#VALUE!,#VALUE!,-0.321585495
Q7JWS8,#VALUE!,-0.596972292,#VALUE!,-0.461144032,#VALUE!,-0.623687387,#VALUE!,-0.076980164,#VALUE!,-0.528677253,-0.489909023,-0.653854367,-0.447681956,-0.2376767,#VALUE!,-0.117881307
Q9VH17;Q0KI92,-0.62215439,-0.108565259,-0.09873726,-0.168965928,-0.505062195,-0.174132982,-0.120404008,-0.059780618,#VALUE!,-0.509203985,-0.365313807,-0.434285854,0.130271955,0.111164889,-0.429012548,-0.334552651
Q8MM24,#VALUE!,0.358846331,0.016638942,0.323658291,#VALUE!,0.175173266,0.112900262,0.520447393,#VALUE!,-0.506660091,-0.019579795,-0.064057549,-0.082927292,-0.117114403,-1.135110636,0.16117825
Q9VFM9,-0.794632512,-1.20114487,0.2083924,-0.599549509,-1.331554059,-1.320125852,-0.645615547,-0.695582415,#VALUE!,-0.496366316,-0.672749534,-0.990968205,-0.495410114,-0.958112225,-0.780165476,-0.089405475
P08182;P08182-3;A4V4C1,0.75787666,#VALUE!,0.287590496,-0.055666266,#VALUE!,-0.460568189,-0.265656722,0.192446694,#VALUE!,-0.481485003,-0.495491468,-0.615463849,-0.214307174,-0.268417031,-0.501258955,0.202260984
Q961R9,-0.114097699,-0.337776267,-0.266454759,-0.107601202,-0.082636991,-0.505164571,0.943883829,#VALUE!,-0.658993455,-0.479653188,-0.795834237,1.692203992,-0.624888262,-0.164011269,#VALUE!,0.715454127
Q9VCI7,-1.24779948,-1.389035421,-0.631823934,#VALUE!,-1.280019299,-1.139426475,-0.636010366,-0.928319694,#VALUE!,-0.478527073,-1.73082319,-1.100298443,#VALUE!,-0.252913417,-0.497282423,-0.642639429
O15943-7;O15943-6;O15943-5;O15943;Q4ABE8;Q4ABE7;O15943-8;O15943-4;O15943-3;O15943-2;Q4ABE9;Q4ABF0,-0.497384248,-0.797864419,0.369941022,0.044464067,-0.474331993,0.061707085,0.107286135,-0.105690543,#VALUE!,-0.457672603,-0.691685728,-0.873952245,-0.033111841,0.007769594,-0.062504943,-0.368662856
P05661-4,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.747390574,-1.550465037,-0.696868063,-0.421032313,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.680335826
Q9VT49,-1.063167987,-1.366652494,-1.121047141,-1.753506783,-0.734851192,-1.263819445,-1.147809349,-1.056731268,#VALUE!,-0.377107122,-0.723062702,-1.048650934,-1.006680695,-0.515707164,-0.692338331,-0.419796616
Q9VX14,#VALUE!,#VALUE!,-0.785477265,-0.259063807,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.521825456,-0.360749311,#VALUE!,#VALUE!,-0.412980721,-0.319945752,#VALUE!,-0.281123315
Q94517,-1.613343538,-0.230448278,-0.45091246,#VALUE!,-1.21036255,-0.802738478,-0.484247185,-0.140078145,#VALUE!,-0.353523948,-1.494759446,-0.955032414,0.109962253,#VALUE!,#VALUE!,-0.332280418
P52486,-1.401368007,-1.697312462,-0.664310953,-0.908794405,-0.743472373,-1.168479424,-0.985958992,-0.727642312,#VALUE!,-0.347674132,-1.497526816,-1.428798909,-0.673255581,-0.623620701,-0.919342337,-0.61519864
Q9XZ58,-1.582814485,-1.355497628,-0.98014155,-0.966940031,-1.590788309,-1.509922832,-1.052685444,-0.658355759,#VALUE!,-0.32573823,-0.998673331,-0.709386867,-0.746567352,-1.342853934,-0.661478601,-0.44124257
Q9VDE2,0.670568446,0.847756437,-0.507480212,-0.58610268,0.55885537,#VALUE!,-0.772554639,-0.734947234,#VALUE!,-0.321855962,1.055750964,0.64745267,-0.691965379,-0.5107037,-0.542437226,-0.436763756
O18338,-0.080835378,-0.024003042,0.01720929,-0.041981427,-0.18211483,0.061707085,-0.035460894,0.022048165,#VALUE!,-0.270138386,0.167229454,-0.197500695,-0.232294359,-0.077680346,-0.179792439,0.119953718
Q94529;E2QCN9,1.271963449,1.098015234,0.208267529,-0.032550998,#VALUE!,0.89437155,-0.090895125,0.19105724,#VALUE!,-0.258787598,0.961919615,0.919759576,0.087327052,0.121015401,0.083928155,-0.078441799
P48159,-2.130934044,-1.960608893,-0.475274321,-0.545781985,-1.714727999,-1.701388602,-0.350025923,-0.827256483,#VALUE!,-0.252071288,-1.514408303,-1.395017788,-0.142337428,-0.877473049,-0.030221407,-0.002657004
Q9VEP8,#VALUE!,#VALUE!,#VALUE!,-0.680844542,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.55592667,-0.194806617,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.515604037
Q9VLP0,0.691802133,0.692695,0.323197108,0.729182941,0.609754962,0.563353406,0.49559284,0.78776677,#VALUE!,-0.180707865,0.744677789,0.412185359,0.321928095,0.132905812,0.268434394,0.265076777
Q9W0I6,-1.750251285,-1.734035093,-0.819750275,-1.447485208,-1.088162718,#VALUE!,-1.346077835,-1.286093074,#VALUE!,-0.172701252,-1.022038736,-0.658515157,-1.54035855,-1.802134609,-1.684132394,-1.969056599
Q9VXP4,-0.861919514,-0.555650976,-0.20046503,#VALUE!,-0.72272934,-1.21742369,-0.039814527,-0.126596247,#VALUE!,-0.170897345,-0.966094272,-0.89073306,-0.105923415,-0.261344557,#VALUE!,0.208017755
Q9VCC6,0.938022262,-0.897489673,-0.353081624,-0.356513187,-0.246463921,-1.43000347,-0.179792439,-0.498117605,#VALUE!,-0.169468821,-1.019258102,-0.842128433,-0.169063249,-0.839028196,-0.206179011,-0.176169134
Q9VG98,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.158525975,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.229737574
Q9W3C7,-0.440968356,-0.994010837,0.095181789,#VALUE!,-0.24821067,-0.48227078,0.204265945,#VALUE!,-0.245728179,-0.156916614,-0.228689079,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.81502154
Q9VHT3,-0.707406697,-0.935862135,-0.434344338,#VALUE!,-0.293235187,#VALUE!,#VALUE!,#VALUE!,-0.459813983,-0.076904078,-0.659813764,-0.848920527,0.021195425,-0.313979144,#VALUE!,-0.349474378
Q9VF28;Q8IND1,-0.598260325,#VALUE!,-0.119479028,#VALUE!,-0.702139492,-0.69119647,-0.269181824,-0.067953951,#VALUE!,-0.066941083,-0.992689662,-0.870914852,1.37133582,-0.141080066,-0.074471432,0.200504353
Q8MLN7,#VALUE!,2.59493067,0.688314661,1.302757716,#VALUE!,#VALUE!,#VALUE!,0.623585972,-0.147905253,-0.066623763,#VALUE!,#VALUE!,0.271784214,0.267595722,#VALUE!,-0.270730032
Q9VWD0,-0.533263263,-0.668547005,0.05963216,-0.205164124,-0.040304021,0.225768496,#VALUE!,-0.197302187,-0.063786099,-0.03179863,#VALUE!,-0.715651703,-0.712716846,-0.439480678,#VALUE!,-0.299063193
Q9VAW5;Q9VAW5-1;Q9VAW5-2;Q9VAW4,0.014926544,-0.091356153,-0.474512391,#VALUE!,-1.159782524,-0.617078258,-0.675120287,0.761455493,-0.189203207,-0.028410464,#VALUE!,-1.053883024,-0.580223825,-0.55245254,#VALUE!,0.528871328
